term,inpopular freq,popular freq
yo para,1,0
yo me,65,9
y lo,83,24
triste,35,5
mucha,18,0
aunque no,20,5
aunque pensando,1,0
yo disfrutando,1,0
vengas,4,0
a mientras,3,0
y si,96,27
adornos,2,1
sol,91,28
jamã s,61,8
sabes que,50,6
no perderã,2,3
todo,482,114
sonrã a,2,0
recuerdos,47,9
amar,16,5
perderã,5,4
los ojos,65,18
saber,81,18
lloro,10,2
dios,72,22
es,2095,468
problemas los,1,0
al,854,213
pero me,24,2
me siento,68,15
por la,148,26
o,1007,221
gusto,14,3
vaciã³ como,1,0
sale,60,23
miras a,1,0
pero ya,15,4
todo yo,2,0
© lo,26,4
destruya,1,0
si por,6,0
sociedad,28,1
estã³mago desayunando,1,0
que yo,97,14
quã,431,90
dirã,42,9
no es,218,51
la mitad,20,5
llueve y,2,0
que pedã,1,1
miras,18,1
ojos rojos,1,0
truena,1,0
un,1947,388
exterior veo,1,0
freya,1,0
en agosto,2,0
epopeya no,1,0
aun asã,7,2
otro,136,31
el arcoã,1,0
llueve,30,0
sufrir si,1,0
de mierda,16,3
soy,559,127
mano,56,10
agosto,6,0
como todo,6,0
sã,466,161
cuantas,16,2
quieres que,24,3
pero,815,180
sonriã³ escondiendo,1,0
perdã mil,2,1
asã,220,69
vaciã³ ivo,1,0
mantengo la,1,1
gente pero,2,0
siquiera,13,0
no hay,199,49
afuera no,5,0
vida se,10,1
al mundo,21,3
a yo,9,1
puede ser,20,5
luchando,20,2
son,342,72
lluvia,19,5
mirada,36,15
en una,47,8
llorar,25,6
a los,93,31
dos cada,1,1
creyera,1,0
el frã,12,3
viendo,24,3
arcoã ris,2,0
como puede,6,0
yo jamã,2,0
veo al,3,0
s serã,2,0
denom yo,1,0
he,260,63
luego,92,18
agosto dime,1,0
como quieres,3,0
siento dentro,3,0
fui,49,8
cada fase,1,0
en la,411,70
mucha gente,4,0
desayunando angustia,1,0
dentro mã,1,0
sociedad donde,1,0
a y,46,15
predomina en,1,0
dirã a,4,2
solucione,2,0
destruya freya,1,0
quise ser,4,0
sonriã³,4,1
afuera,15,2
lo solucione,1,0
mundo,239,40
que lo,96,16
os en,8,4
hacer sigo,2,0
as todo,3,0
colonia,2,0
incluso yo,1,0
frio te,1,0
tenã,30,8
allã,39,5
apariencias incluso,1,0
nunca,303,60
quiera,25,6
ruido,20,5
que me,441,111
amar no,2,0
guardar,8,0
mirada y,3,0
llenar,9,0
vaciã³,3,0
el ruido,4,3
siento,182,48
y hiela,2,0
mi mundo,7,2
hiela,2,0
creo en,35,1
yo no,140,19
yo,1268,258
o como,14,2
allã afuera,2,0
mitad lo,7,0
chico,42,18
principios de,1,0
collares,6,0
dime,125,42
me elija,1,0
caras de,8,0
fase,2,1
a tãº,2,0
diluvio deja,1,0
disfrutando,2,2
dolor el,1,0
mientras me,3,1
luego no,7,1
dime cã³mo,8,0
cae,16,6
que afuera,2,0
me quiere,11,1
luchando por,7,0
escalofrã,3,2
te,1524,274
ahora,224,47
mitad,24,6
donde todo,4,0
s de,88,28
histeria no,1,0
estar a,7,1
en mi,179,43
angustia la,1,0
te siento,7,0
serã n,9,0
ya no,267,33
veces sin,2,1
sin,560,146
los collares,1,0
dentro,141,27
llenar ese,3,0
aquã llueve,2,0
y truena,1,0
desayunando,1,0
pedã,5,1
sufrir,13,3
solucione todo,1,0
cae tormenta,1,0
soy yo,32,2
apariencias,8,1
y ni,10,0
a vida,4,0
como,1095,252
yo sonriã³,1,0
mientras,116,29
sin saber,20,0
veo solo,1,0
ni,400,73
calle mustia,1,0
por amar,1,1
quieres,127,34
sientan el,3,0
quiera que,5,1
recuerdos y,3,0
tãº no,31,3
solo,481,88
mundo incuerdo,1,0
aun,45,14
lo dirã,3,0
sã ©,293,127
no llorar,3,0
mierda,145,25
del,746,183
fase a,1,0
una sociedad,4,0
mantengo,6,3
colaboraciones,2,0
incluidos,1,0
fiel es,1,0
alquimista,2,0
de denom,1,0
juancho marquã,17,0
de juancho,1,0
21,4,0
del disco,3,1
juancho,19,0
aparece este,1,0
orgullo,15,3
los cortes,1,1
corte con,1,0
con las,31,4
y elio,1,0
aparece,6,2
salida,34,1
fiel,14,4
elio toffana,1,0
uno,83,15
encarga el,1,0
elio,2,0
el nuevo,4,0
toffana,1,0
denom llamado,1,0
uno de,20,3
las colaboraciones,1,0
cortes,4,2
el alquimista,1,0
marquã,19,0
disco de,4,0
cuenta con,4,0
es uno,4,0
incluidos en,1,0
de los,139,43
la salida,9,0
colaboraciones de,1,0
el 21,1,0
llamado,5,0
de marzo,2,0
las,860,163
es fiel,2,0
21 de,1,0
marzo aparece,1,0
tema cuenta,1,0
el orgullo,6,1
salida del,1,0
cortes incluidos,1,0
orgullo es,1,0
marquã ©,19,0
este corte,1,0
© s,120,26
marzo,2,0
llamado medicina,1,0
s y,23,4
cuenta,75,18
cuando el,17,8
pa correr,2,0
llueve sobre,2,0
llevan mis,1,0
donde siempre,1,0
da,175,43
noches,20,11
seas,27,3
un faro,2,0
algo,145,44
cuando,503,134
camino pa,1,0
ahã,55,5
hemos,28,5
el auto,1,0
duele,50,10
tenso,4,1
aprieta,6,1
freno,3,16
aguantã³ contigo,1,0
x2 mueve,1,0
comer mueve,3,0
el mã³vil,11,3
asã no,19,1
que la,115,28
cartera,15,1
lo hemos,3,0
que aãºn,8,0
oscuro,12,3
mã³vil vibra,1,0
empuja,8,1
picas,2,0
quiso encajar,1,0
tiene,139,60
vaciando,1,0
era su,4,0
excusas malas,1,0
pa,299,51
las cajas,1,0
se llevan,8,0
se libra,3,0
necesitas,9,3
cliente,3,0
recuerda,26,5
antecedentes,1,0
dinero mã,2,0
kilos en,1,0
© jate,4,1
jaros del,1,0
picas micras,1,0
tigra con,1,0
bajan suaves,1,0
su mente,4,0
l si,2,0
7 donde,1,0
tenso no,1,0
rodajas,1,0
hielo,17,3
llueve llueve,6,0
por su,12,0
correr llueve,2,0
hambre empuja,1,0
patinan,1,0
ese reloj,3,0
siempre,345,65
perder,57,14
s quiso,1,0
perder como,3,0
nacimos pa,2,0
auto,4,0
niã,138,26
oscuro frã,1,0
al fondo,2,4
llevan cartera,1,0
motores luces,1,0
un papel,9,5
contigo sin,1,1
cajas en,1,0
estribillo fernandocosta,2,0
siempre te,11,0
verlo distinto,1,0
malas tantas,1,0
tiempo que,39,6
acelera,4,0
y aunque,35,5
mã³vil,17,3
mueve,35,5
fondo un,1,0
7,14,0
se para,4,0
esa movie,1,0
os con,5,0
porque tiene,3,0
tiene que,16,3
corriente allã,1,0
fuera niã,1,0
mis,411,90
se trabaja,1,0
empuja a,1,0
a la,340,44
llueve ahora,2,0
n en,8,1
dejes a,1,0
el cielo,61,11
mover,20,1
no le,37,6
puesto,23,2
maldades,2,0
gente habã,1,0
pesan,1,1
los rã,2,1
para el,38,5
flush lo,1,0
pan se,1,0
se van,21,2
guisã³ su,1,0
mis males,2,0
nido,4,0
no se,160,45
a 3,2,0
duele duele,4,0
se notã³,1,0
le,320,74
vez no,3,0
miedo,88,21
vales,11,3
rumores de,1,0
la baraja,1,0
mar,48,29
o en,28,7
reloj,20,2
distinto y,2,0
a gente,2,1
acabarã,9,1
lucha tu,1,0
cuã ntas,14,16
no estã,52,7
quita,17,2
y los,28,11
a mover,6,0
excusas,3,0
pensar en,10,6
segunda vez,2,0
suelo el,3,0
males,5,2
en cifras,2,0
corriente,10,3
hay tiempo,8,0
no sale,13,2
acabarã n,2,0
pan,25,7
ãºltima vez,5,1
espera el,2,0
tigra,1,0
agua son,1,0
freno hasta,1,0
cansas aquã,2,0
correr,22,6
lloviendo,4,0
necesitas me,1,0
recuerda al,1,0
el brillo,4,1
tintas,3,0
baraja su,1,0
auto acelera,1,0
las 7,2,0
hasta tocar,2,0
dijo sin,1,0
cuentas pendientes,1,0
denom duele,2,0
el minutero,1,0
la 9,1,0
su segunda,1,0
tantas,35,16
marea,17,5
demonios patinan,1,0
tu,1063,215
cuã,71,36
pã jaros,7,1
en un,156,22
micras no,1,0
la suerte,6,3
la ãºltima,15,6
da lo,3,2
ã ©,102,30
faro,8,0
carrera no,3,0
baraja,2,0
que perder,15,5
nido recuerda,1,0
9,3,0
segunda,5,0
a las,44,14
porque,489,109
te pongas,2,0
me dijo,12,15
ojeras estã,1,0
el suelo,20,12
del ruido,2,0
antecedentes tantas,1,0
nacimos,5,1
que el,157,38
vaciando un,1,0
money no,2,0
hasta,197,47
mar oscuro,1,0
el hambre,12,1
cansas,4,0
esa,150,32
ã,221,52
verã,40,9
lo tengan,2,0
tiempo te,2,0
tanto tienes,1,0
quimeras se,1,0
era,122,13
comer,21,0
as de,18,4
fichas buscã³,1,0
hizo,20,9
destino,44,12
tanto vales,1,0
caleta llena,1,0
pesan marea,1,0
hemos puesto,1,0
agentes se,1,0
verlo,13,5
a su,45,9
la arena,6,4
le rezan,1,0
dinero las,1,0
fondo,19,9
mueve pronto,3,0
estã escrito,4,0
la guantera,1,0
juntaron,1,2
al que,33,10
alã ©,1,0
agua,34,13
espera,49,6
sobre,73,8
impaciente,3,0
pero el,31,6
suerte lo,1,0
faro el,1,0
te quita,1,0
guisã³,1,0
y agua,2,0
el destino,16,1
tengan que,4,0
tintas lucha,1,0
kilos,16,0
ya que,29,4
baja no,1,0
tantas excusas,1,0
pasan noches,1,0
el maletero,3,0
minutero,1,0
vez que,41,15
demonios,12,0
sacas lo,1,0
aguantã³,1,0
habã,33,10
mares confã,1,0
llena,24,0
encajar guisã³,1,0
l,100,21
estã,467,111
jaros,7,1
cielo,98,24
pongas,2,1
en mis,32,12
pendientes,4,0
maldades cuã,1,0
ahã afuera,3,2
dijo vaciando,1,0
tiempo duele,3,0
rezan,2,0
pa verlo,1,0
quita no,1,0
trabaja,10,2
mente,70,24
ntas,14,16
hielo al,1,0
pensar,74,17
suaves,1,1
con ojeras,1,1
bajan,4,0
suelo,54,24
tienes tanto,1,0
los kilos,1,0
sacas,4,0
mueve mueve,12,0
y ya,45,6
empezã³ a,3,0
se mueve,12,0
sale algo,4,0
jate,10,2
pendientes era,1,0
pasan,21,3
pã,56,19
s dinero,3,1
brillo,11,4
no llevan,1,0
algo que,24,7
aunque con,4,0
lloviendo money,1,0
llena el,2,0
agujas pero,1,0
rumores,2,1
empezã³,8,0
noches fuera,1,0
libra cuando,1,0
aquã nacimos,2,1
jate del,1,0
si el,49,11
los demonios,2,0
quiso,6,3
mares,9,0
tocar,12,6
aãºn,42,8
males pasan,1,0
siempre sale,5,0
rodajas fichas,1,0
lo hizo,2,0
la carrera,3,0
su gente,4,0
pongas tenso,1,0
tanto,128,33
brillo del,1,0
movie,2,0
seas impaciente,1,0
de motores,1,0
rezan se,1,0
libra,4,1
pronto,22,4
alã,5,0
denom rumores,1,0
veces lo,6,0
os bajan,1,0
sale los,1,0
rã,68,17
hambre,32,4
baja,10,2
era la,1,0
no tener,9,2
duele que,2,2
buscã³ entre,1,0
tocar el,4,1
quimeras,1,2
que hacer,27,3
camino,107,24
9 en,1,0
guantera se,1,0
estã lloviendo,3,0
distinto,20,0
ruido de,2,2
tener,68,9
del dinero,3,1
agujas,2,0
como ese,4,1
vez,201,43
suerte,25,9
miedo dijo,1,0
duele siempre,3,0
minutero el,1,0
guantera,1,0
cielo y,12,2
patinan por,1,0
todo y,13,3
arena pesan,1,0
que comer,5,0
escrito en,8,1
acelera a,1,0
no seas,5,2
lucha,18,6
malas,21,6
mover y,3,0
s maldades,1,0
fernandocosta,4,0
papel,36,13
movie y,1,0
gente los,1,0
maletero la,1,0
mueve porque,3,0
el cliente,1,0
tantas cuentas,1,0
fernandocosta tanto,1,0
ojeras,5,3
el mar,20,7
mis quimeras,1,0
confã,16,5
un tigra,1,0
rã os,2,1
juntaron esa,1,0
se empezã³,3,0
la caleta,3,0
sin pensar,4,2
su flush,1,0
cifras alã,1,0
hambre aprieta,1,0
sobre ã,2,0
tener miedo,2,1
encajar,3,0
los cansas,2,0
maletero,3,0
vales mã,1,1
o es,18,2
van los,1,0
money,25,0
trabaja jamã,1,0
ntas veces,2,9
se juntaron,1,2
aprieta sacas,1,0
fichas,1,0
tu camino,7,0
caleta,3,0
en mares,1,0
ahora llueve,2,0
motores,1,0
arena,16,6
buscã³,3,1
que verã,1,2
con el,154,31
luces,17,9
no te,206,28
del nido,1,0
no habã,7,2
allã no,2,0
sin freno,2,0
por pan,1,0
verã a,2,0
de las,69,13
carrera,13,0
es hielo,1,0
impaciente era,1,0
contigo,87,12
estã ahã,3,0
vida da,3,0
notã³ corriente,1,0
cuentas,11,0
que mover,3,0
no los,10,1
hizo rodajas,1,0
micras,2,0
escrito,23,1
cartera los,1,0
entre,118,33
te espera,5,0
fernandocosta denom,2,0
vibra,2,1
3,9,1
van,130,35
reloj se,3,0
suaves acabarã,1,0
notã³,1,1
cliente no,1,0
cajas,2,0
entre la,10,4
mover la,4,0
los antecedentes,1,0
dijo,24,19
los pã,4,1
llevan,20,2
dinero,93,8
vibra por,1,0
© l,51,12
las medias,2,0
pronto se,6,0
medias,6,2
su as,1,0
cifras,5,1
3 agentes,1,0
que necesitas,2,0
agentes,5,0
habã a,24,10
destino estã,2,0
que aguantã³,1,0
fuera,92,18
puesto todo,3,0
ãºltima,17,7
marea baja,1,0
el tiempo,136,24
mueve ya,3,0
a a,41,8
flush,2,1
tengan,7,3
niã os,41,6
de picas,1,0
confã o,8,1
tiempo,275,49
luces en,1,0
son agujas,1,0
medias tintas,2,0
aãºn no,7,0
todos,233,53
mentira en,3,0
con esta,15,4
la oscuridad,11,1
ana mirando,1,0
herida hay,1,0
lã,99,23
abrace el,2,0
va,285,35
ana,92,25
de mi,200,36
s volviã³,3,0
toco su,1,0
cortocircuito,2,0
me arroparã,4,0
o tanto,1,0
abrã zame,8,0
dã³nde,59,5
coã,45,4
venas,17,1
don t,14,0
negro intenso,1,0
mis sueã,15,0
puente cortocircuito,1,0
manos,61,18
salir,49,5
fuck,34,4
corazã³n y,19,2
gã,12,5
nunca el,1,0
vacã,37,11
azul de,1,0
puente,40,6
â quiã,47,5
miedos bombardean,1,0
recuerdo,51,6
n me,9,5
bruma,4,0
arrastra,1,1
busca salida,1,0
esta,388,94
knew,2,0
a salir,9,1
lã grimas,33,5
hay un,13,3
herida,10,10
pena toco,1,0
lidas,1,0
pena,38,11
bruma en,1,0
sentir,36,10
alma y,10,5
y seco,1,0
hacer y,3,0
© lidas,1,0
sol gonna,2,0
lame,6,0
esta depresiã³n,4,0
niã o,67,12
insomnio,12,4
este negro,1,0
que nunca,47,7
depresiã³n,10,2
son nulas,1,0
give,8,0
el azul,1,0
noche,91,19
todos mis,17,1
abrace,3,0
un monstruo,4,0
â dã³nde,24,1
bombardean,2,0
este insomnio,2,0
o que,48,8
cuarto lleno,2,0
rostro,11,1
xodo,1,0
volviã³,8,1
mi pecho,2,2
nulas,1,0
die i,2,0
never die,2,0
culto a,2,0
nos arrastra,1,0
gonna knew,2,0
con este,11,1
nos,344,105
ya ni,7,5
y las,23,10
instalã³,4,0
ventana tormenta,1,0
mis venas,4,0
ningãºn,34,3
die,4,0
alivio,3,0
mentira,37,22
corazã³n,165,55
o los,4,0
arrastra el,1,0
inmenso propenso,1,0
fuck cortocircuito,1,0
ganas son,1,0
el rã,8,3
never,4,0
la pena,24,3
instalã³ en,4,0
os nos,1,0
t give,2,0
la ventana,8,6
que busca,1,1
le lloro,1,0
ocupã³ nunca,1,0
insomnio hace,2,0
intenso,5,1
busca,38,12
del cuarto,1,0
maã ana,90,24
sueã os,84,19
propenso al,1,0
la cama,48,3
luz de,15,1
vacã o,16,10
grimas lame,1,0
cama,62,11
se instalã³,4,0
alma,101,48
cenicero con,1,0
grimas,33,5
abrã,11,2
cama y,6,0
negro,24,16
give a,2,0
las ganas,11,6
propenso,2,0
culto,3,0
el invierno,9,0
el cenicero,2,0
sueã,160,42
luz,64,31
mi herida,1,0
intenso pensamiento,1,0
pecho que,2,1
oscuridad,19,5
rostro con,1,0
interior,43,5
i don,12,0
coã o,36,3
manos gã,1,0
ningãºn alivio,1,0
mirando el,5,1
parece mentira,1,0
pensamiento inmenso,1,0
pensamiento,7,1
nunca jamã,5,0
invierno se,6,0
zame para,1,0
monstruo,6,0
me abrace,3,0
rã o,17,3
sus lã,2,0
lidas y,1,0
cuarto,15,2
don,60,2
azul,8,3
o va,6,0
al ã,3,1
los miedos,3,0
mis manos,9,1
volviã³ este,2,0
gã ©,10,3
hace,163,38
mi alma,32,14
de mis,55,9
yo con,12,1
seco sus,1,0
el culto,1,0
cenicero,3,0
para sentir,2,0
hace que,15,1
dã³nde estã,18,0
monstruo en,1,0
mi yo,3,1
tu frã,3,0
lleno el,3,0
salida parece,1,0
maã,97,28
zame,8,0
en todos,7,0
el sol,55,21
ventana,16,8
y ningãºn,1,1
bombardean mi,1,0
va a,119,5
luna,51,4
estã mi,1,0
en esta,48,7
noche â,5,0
la luz,37,7
seco,3,2
inmenso,3,0
luna hay,1,0
lame mi,1,0
arroparã,4,0
parece,42,5
y en,59,14
toco,15,4
i,156,17
mi interior,6,0
tanto por,2,0
venas el,1,0
nulas le,1,0
© xodo,1,0
sentir tu,3,0
con mis,24,4
t,49,1
interior pienso,2,0
su rostro,6,0
que ya,67,11
knew never,2,0
pienso en,22,2
esta noche,11,5
mi corazã³n,36,4
depresiã³n quiã,2,0
alivio ocupã³,1,0
lloro a,1,0
oscuridad del,3,0
cortocircuito en,2,0
por hacer,6,0
salir de,13,3
a fuck,2,0
ni recuerdo,1,1
n coã,8,0
ganas,49,24
tormenta maã,1,0
depresiã³n â,2,0
pienso,78,20
el vacã,3,1
pecho,14,12
invierno,18,1
hay bruma,1,0
estribillo y,19,5
gonna,3,0
miedos,16,8
xodo â,1,0
lleno,30,4
la luna,37,2
ocupã³,1,0
mirando,26,2
yo y,14,3
el niã,28,3
vi fue,1,0
leyends hasta,1,0
â por,101,1
de arriba,2,1
bala â,1,0
dejado la,1,0
© coã,4,0
sabiendo que,6,2
yo apenas,1,0
pa llegar,2,0
tan poco,7,5
estos fracasos,1,0
blanco y,3,1
centro habã,1,0
con poco,4,2
santo,17,4
aquel,35,7
este camino,8,0
un momento,15,0
quedo,27,2
puerta antes,1,0
© cojones,5,0
me abrazan,1,0
se coman,1,0
pocos lujos,1,0
ciao,1,0
al final,52,5
campana chico,1,0
sin estudios,2,0
voz al,2,0
se lleve,1,0
haga,43,1
mundo si,5,1
mira aãºn,1,0
colegas porque,1,0
o porque,6,1
enseã ar,8,1
serio,16,2
negro y,2,2
poco tiempo,2,0
parezco,10,1
bueno,65,11
traidores solo,1,0
habla la,1,2
comparto,9,0
mi locura,3,0
antes de,42,14
enamora o,2,0
rebaã,5,0
lo ha,6,1
cargar,8,0
coman esas,1,0
puntos,12,0
lo haga,5,0
de este,49,8
sus colegas,1,0
os no,10,1
el de,18,1
te contara,1,0
ã ngel,15,5
de ausencia,1,0
yo ahã,2,0
entero puedes,1,0
publicã tate,7,0
tengo guerras,1,0
vi que,4,0
noto que,5,0
vuelva,8,3
tras diez,1,0
que se,217,63
mi conciencia,7,1
meses,15,5
fue en,2,0
tengo,380,79
hacã as,3,0
cruz veo,1,0
enamora,6,1
destrozan soy,1,0
tomã ©,3,0
antes,107,27
me falto,1,0
rollo,11,3
conformaba mãºsico,1,0
brillando,2,1
me hablan,2,0
mi cruz,3,1
traidores,3,0
que vuelva,3,1
santo la,2,2
o negro,1,0
o lo,19,4
© mi,10,2
pensamiento de,1,0
momento,61,6
ausencia invertã,1,0
tres,31,10
y esa,7,1
persona chica,1,0
aã,109,17
tiene guardada,1,0
abren la,1,0
interesa os,1,0
es bueno,1,0
ar quiã,1,0
es tanto,1,0
mira estos,1,0
que vi,4,0
te los,2,0
tirar,17,4
hablen,7,0
serio no,2,0
ãºltimo,21,10
se conformaba,1,0
en hhgroups,7,0
casa yo,1,0
la puerta,21,2
impotente,1,0
a por,32,4
persona,64,4
ahã fuera,18,1
conformaba,2,0
muerte de,4,0
mis cosas,2,0
tres traidores,1,0
de blanco,1,0
una bala,7,0
abrazan me,1,0
© yo,12,4
chico de,2,0
invertã,1,0
sin voz,2,0
solo hallando,1,0
nos conocemos,1,0
o de,32,14
cã³mo me,4,0
acosan no,1,0
puerta,32,3
escribã a,3,1
porque aquã,5,0
esposas cã³mo,1,0
lobo,8,1
marcharon me,1,0
siento como,4,1
quieras,33,5
que no,488,114
poco se,2,0
veo en,6,0
que he,23,7
dudã,3,0
y no,298,71
biles,5,0
© unos,1,0
diez,23,6
lleve mi,1,0
tanto que,16,5
sudan,3,0
que jã³venes,1,0
de salud,1,0
unos,37,8
ha visto,6,1
hhgroups,7,0
casa,84,17
enamores,2,0
entero,17,6
y que,114,26
he dejado,10,0
harã ©,21,5
aquã to,1,0
me los,9,3
veo choques,1,0
puedes,107,20
autoengaã,3,0
nadie creã,1,0
sentirlo viendo,1,0
ven to,1,0
autoengaã o,2,0
dã,342,58
nuevo que,2,1
conocen,12,4
y todo,14,9
ausencia,9,0
lo llevo,3,1
si yo,16,4
yo en,6,6
meses de,4,0
cosas rã,1,0
la que,51,9
hallando,1,0
llegar a,13,1
biles te,1,0
mi talento,4,1
enseã,65,20
publicã,7,0
y me,146,44
con ellos,5,0
guerras,8,3
cã³mo enseã,1,0
masas mira,1,0
porque yo,8,1
mejores,16,1
