,date,time,tweet,language
13,25/02/2022,23:54:37,keep seeing videos people want take note whats happening heres reminder glass break stay away windows hear enemy fire staysafe ukraineunderattack wwiii putinswar,en
14,25/02/2022,23:54:27,media creat propoganda president putin russia first check history us record regarding japan muslim country wwiii,en
15,25/02/2022,23:53:58,peace solution lets prayforukraine stopputin stoprussia यूक्रेन wwiii worldwar3 uno,en
16,25/02/2022,23:53:20,inaccurate describe nuclear apocalypse nuclear exchange since ensures destruction vast majority humankind lifekind havent gotten rid nuclear weapons prevent situation face wwiii,en
17,25/02/2022,23:53:17,support ukraine palestine syria lebanon iraq condemn russia israel us congratulations mate highest tier hypocrisy rtagree russiaukraineconflict no_war wwiii الحرب_الروسيه_الاوكرانية russiaukrainewar,en
18,25/02/2022,23:52:56,still think brink wwiii worldwar3,en
19,25/02/2022,23:52:35,damn fuckin true wwiii worldwar3,en
20,25/02/2022,23:52:25,remember ongoing conflict ukraine ukraineandrussia wwiii,en
21,25/02/2022,23:52:02,seems 6th game second set going since wwiii started acapulcoopen nadal,en
22,25/02/2022,23:52:02,wwiii omg starting see nato bidenisadisgrace bidenisafailure bidenbordercrisis ukraineunderattack ukraine usa,en
23,25/02/2022,23:51:58,e sure putins go one one zeleensky soldiersnothing nothing lets see na😒😒 putin wwiii nairamarley,en
24,25/02/2022,23:51:57,stay strong putin worldwar3 wwiii warinukraine,en
25,25/02/2022,23:51:50,zelenskyyua leader showing 🌏 leader looks like us senatedems housedemocrats potus dnc soulsearching giving space senategop housegop emulate hero vladputin thug choosing start cld easily become wwiii,en
26,25/02/2022,23:51:36,holiness hazrat mirza masroor ahmad aba writes letter 18 september 2013 mr vladimir putin president russian ferderation russiaukraineconflict russiaukrainewar wwiii,en
27,25/02/2022,23:51:17,"heres statements ""vladimir putin"" putin russia listen dont regret laterrrrr love quotes russia wwiii putin vladimir putin ukraineinvasion",en
28,25/02/2022,23:51:10,chosenonesnft praying ukraine friends live russias attack senseless need help two 1 1 special nfts 10k auctioned 100% donated please like retweet ukraine russia wwiii,en
29,25/02/2022,23:51:00,biden deploying 7000 us troops europe via amermilnews ukraineinvasion democratsareadisaster military wwiii great job joebiden kamalaharris aoc oh wait forgot putinspuppets,en
30,25/02/2022,23:50:32,case wwiii happens evs go mainstream mark words,en
31,25/02/2022,23:50:29,dont even remember country economical crisis want wwiii ww3 wwiii srilanka,en
32,25/02/2022,23:50:11,feel though increasing appetite direct confrontation us russia understand unthinkable terms risk escalating nuclear apocalypse nowarwithukraine russiaukrainewar wwiii nuclearweapons nuclearwar,en
33,25/02/2022,23:49:54,president zelensky hero staying put defending evil hero ukrainewar wwiii,en
34,25/02/2022,23:49:45,war solution thing peace talking best solution conflict resolving war no_war nomorewar stopthewar wwiii worldwar3,en
35,25/02/2022,23:48:26,condemn war everywhere ukraineunderattack ukraine ukrainerussia worldwar3 unitednations putin wwiii worldwar3,en
36,25/02/2022,23:48:07,worldwar3 wwiii ukraineinvasion ukrainewar ukraina laughing matter; however polictal comedy existed two world wars might well serious crap develpoping amd posting putin soooo honest lol,en
37,25/02/2022,23:47:44,two ukrainian kids seen paying respect ukraine troops heading war front true patriotism ukraine⚔️ kiev worldwar3 putin ukraine ukrainerussiaconflict wwiii russiaukraineconflict nato,en
38,25/02/2022,23:47:41,💀 wwiii,en
39,25/02/2022,23:47:14,bartsim28514897 ageofsecrecy paulsonne wwiii coming soon nuclearwar possible family nuclear survival plans family disaster network navigate 8 pages please public domain information putin unhinged big time,en
40,25/02/2022,23:46:57,letter found pocket one dead soldiers 1939 stopwar wwiii,en
41,25/02/2022,23:46:56,ukrainians left die russia respond tyrant grow stronger stand freedom stand ukraine poutine kiev kiew trump putinisawarcriminal istandwithukraine ukraineinvasion wwiii nato putin ukraine ukraineunderattack eu,en
42,25/02/2022,23:46:19,russiaukrainewar needs diversity cant get shit together represent everyone think cancel immediately individual demand voice heard wwiii,en
43,25/02/2022,23:45:46,well aged well knew never put eggs one basket never give power away 🤷🏻‍️ trump russia germany russiaukraineconflict ukraine putin pipeline oilandgas melaniatrump wwiii power money russiaukraine makeamericagreatagain sanctions,en
44,25/02/2022,23:45:08,trump wouldnt allowed russian invasion ukraine happened usa nato gave ukraine false assurances criticizing ukrainebiden praising russiantrump trump guy good avoidingpreventing unnecessary wars china www2 wwiii gaddafi,en
45,25/02/2022,23:45:00,days ukraineunderattack ukrainewarwhen russiainvadesukraine face face starting wwiii ww3 worldwar3 worldwariii worldwarthree worldwar seems nonsense tweet like share tweets westandwithukraine 🇬🇪💪🏻✊❤,en
46,25/02/2022,23:44:30,"russian tennis star andrey rublev appeal ""no war please"" russiaukrainewar stopwar wwiii",en
47,25/02/2022,23:44:15,get loser going looting wwiii,en
48,25/02/2022,23:43:08,furious putin prepares use 'father bombs' brave ukrainians via youtube unitedispink wwiii ww3 stopputin stopwar putin putinswar ukraine ukrainian kiew kiev ukrania,en
49,25/02/2022,23:43:02,russia breaks international law whole world goes mad israel broke international law one bats eyelid wwiii ukrainewar russiaukrainewar,en
50,25/02/2022,23:41:19,rusiavsucrania ukraineunderattack simpsons predictions wwiii 🪖,en
51,25/02/2022,23:40:00,russiaukraine conflict sikh community steps forward serves ‘guru ka langar train war stricken people read ukraine russia putin wwiii worldwar3 ukrainerussia russiaukraineconflict kyiv worldwar3 india gurukalangar langar,en
52,25/02/2022,23:39:49,hadnt american voted donald trump putin allowed invade ukraine chosen joe biden lacking democracy sleeping president nato bidenisadisgrace blackshinesbrightest putin trump goptraitorstodemocracy wwiii joebiden,en
53,25/02/2022,23:39:42,ummm still school wwe literally happening right posts image black person something wwe wwiii schoolsux,en
54,25/02/2022,23:39:40,potus time step get game lack leadership helping prevent wwiii remembered prove us wrong 💪,en
55,25/02/2022,23:39:32,please dont 😥 unitednations ukraineunderattack ukraine ukrainerussia worldwar3 unitednations putin wwiii worldwar3,en
56,25/02/2022,23:39:25,people doubts god difficult times 🤦🏾‍️ davido wizkid ukraine russia wwiii wwiii,en
57,25/02/2022,23:39:23,got money wars cant feed poor 💔 💔 wwiii stopthewar stopputin russiaukraineconflict ukrainewar ukrainerussiacrisis nowar russia,en
58,25/02/2022,23:38:58,ukrainians proud leader man offered evacuated us responded need ammunition ride putin russia thought would easy take ukraine think wwiii ukrainerussia russianinvasion,en
59,25/02/2022,23:38:57,makes really difficult come together nation former president members gop praise putingoptraitorstodemocracy gopbetrayedamerica trumpisarussianasset putinisawarcriminal istandwithukraine wwiii here… takeoutputin,en
60,25/02/2022,23:38:41,williamzambezi spectatorindex wwiii making zvadhakwalets see laugh,en
61,25/02/2022,23:37:43,sensex slips 1400 points putin orders troops ukraine wwiii worldwar3 worldwariii ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukrainewar ukraineunderattack ukrainewar russianinvasion ukrainerussia ukraineinvasion,en
62,25/02/2022,23:37:21,hurting 💔💔💔say war 👍 wwiii russiaukrainewar russiaukraine warinukraine worldwariii worldwar3,en
63,25/02/2022,23:37:06,trends ukraine palestine double standards worldwariii wwiii wwiii war,en
64,25/02/2022,23:36:45,amya_press heartbreaking pray world🙏🏽🌎 wwiii,en
65,25/02/2022,23:36:25,courage face🏅 worldwar3 wwiii ukraine russiaukraineconflict russia russiaukrainewar,en
66,25/02/2022,23:35:57,support ukraine palestine syria lebanon iraq condemn russia israel us congratulations mate highest tier hypocrisy rtagree russiaukraineconflict worldwar3 wwiii,en
67,25/02/2022,23:35:52,worldwar3 worldwariii wwiii putin russia ukraine,en
68,25/02/2022,23:35:49,nato america take military action weak countries sanction affect russia years matter putin nato alliance america left ukraine alone difficult time putin russia ukraine wwiii zelenskiy kiyev nato crisis,en
69,25/02/2022,23:35:22,🙏🏽 russian captive speaks parents ukraine ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii,en
70,25/02/2022,23:34:53,throw uniform putin make one one wwiii,en
71,25/02/2022,23:34:52,conflict started best course end early world shall convince russia restrct donetsk luhansk regions leave rest ukrain exchange relief sanctions normalisation ukraineconflict wwiii europe nato usa uno,en
72,25/02/2022,23:34:45,russiaukraine war live indians evacuated reach mumbai 4 pm wwiii worldwar3 worldwariii ukraine ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukraineconflict russiaukraine russiaukrainewar ukrainecrisis,en
73,25/02/2022,23:34:00,"nonmilitary civvie crowd yall cry havoc wwiiiww3 standard ""acceptable losses"" per cdnnato stds operation able continuebe deemed ""successful"" begin around 20% deployed forcecollateral population 2",en
74,25/02/2022,23:33:16,close destruction way life imagine trump succeeded ukraine nato wwiii looks like trump rubbed putin thought always brings best everyone btw mikeflynn,en
75,25/02/2022,23:32:32,truth putin started wwiii hes going go ukraine surrounding countries told us hes going swedense finlandineu nato potus whitehouse senatedems housedemocrats dnc enough need act months frm,en
76,25/02/2022,23:31:52,favor war atrocities committed nato still injustice accounted wwiii worldwar3 putin ukrainerussia,en
77,25/02/2022,23:31:01,big still office shit wouldnt even going right wwiii,en
78,25/02/2022,23:29:38,never forget islamic world 💔 arab palestine syria uyghurs wwiii ww3 iraq irak yemen,en
79,25/02/2022,23:29:27,us werent ahead yall behind youve woken late face repercussions due ignorance covid19 ww3 wwiii,en
80,25/02/2022,23:29:07,like arguing mother wwiii,en
81,25/02/2022,23:28:34,germany eagerly awaiting 😍 wwiii,en
82,25/02/2022,23:28:21,words ukraine wwiii,en
83,25/02/2022,23:28:16,meta company owning facebook moving bar russia running ads platformsrussiaukraineconflict wwiii unitedwithukraine sttacin robertalai,en
84,25/02/2022,23:27:23,god bless ukrainian heroes 🙄🙄🙄🙄🙄🙄 ukraineinvasion ukrainewar wwiii,en
85,25/02/2022,23:27:14,usa real threat world russiaukraineconflict unitednations wwiii nato unsc,en
86,25/02/2022,23:27:12,wwiii nato gets involved,en
87,25/02/2022,23:27:05,russiachina partnership russiaindia currency deal pakistan germany france somehow involved chinanorth korea possibly signaling attack taiwan canada almost gone full communist party us border patrol told beware targeted assassinations wwiii,en
88,25/02/2022,23:26:51,masculinitysaturday worldwar3 state house ukraine wwiii bidenisadisgrace closethesky,en
89,25/02/2022,23:26:38,youre worried showing concerns ukrainian humanity palestinian 🇵🇸 look israel 🇮🇱 way youre looking russia westandwithpalestine wwiii,en
90,25/02/2022,23:26:02,special flight airindia ai1943 lands bucharest romania evacuation stranded indians wwiii worldwariii ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukrainewar ukraineunderattack ukrainewar russianinvasion ukraineinvasion,en
91,25/02/2022,23:25:56,think stop ww3 like liquid come fire worldwar3 wwiii ukraine russiaukraineconflict russia russiaukrainewar,en
92,25/02/2022,23:25:27,much case ww2 leaders appear west wwiii well underway must survive ill bet conservatives rightwing extremists wont care reelection getting us 2 side,en
93,25/02/2022,23:25:24,long turned intercontinental ballistic missiles wwiii,en
94,25/02/2022,23:25:21,history revolves around thats stand putin wwiii ww3 worldwariii,en
95,25/02/2022,23:25:05,grow food build local supply chains society crumbling save build new systems much use crying abusive system change nwo wef wwiii greatreset convoyforfreedom2022 bidenisadisgrace homesteading protest convoyforfreedom,en
96,25/02/2022,23:25:03,wwiii sanctions useless way saying nato cowards,en
97,25/02/2022,23:24:38,breaking update special flight airindia ai1943 lands bucharest romania🇷🇴 evacuation stranded indians russiaukraineconflict ukrainecrisis ukrainerussiacrisis russia wwiii russiaukrainecrisis,en
98,25/02/2022,23:24:28,russiaukrainewar gunfire erupts inside ukrainian capital wwiii worldwar3 worldwariii ukrainerussiacrisis ukraineconflict russiaukraineconflict ukraineunderattack ukrainewar russianinvasion ukrainerussia ukraineinvasion,en
99,25/02/2022,23:24:19,many times ukraine supported india kashmir pakistan galwan nuclear test support country always hostile towards us cannot shake hands clenched fist indira gandhi ukrainevsrussia russia wwiii ukraine,en
100,25/02/2022,23:24:17,0123pm saturday 02262022 gmt+8 status world changing chaos everywhere taiwan ukraineinvasion wwiii tweetdaily,en
101,25/02/2022,23:23:58,groundwater damage since annexation crimea donets coal basin 'donbas' faced significant damages contains active inactive land mines pumped regularly groundwater flood themrussiaukrainewar wwiii nuclear nature,en
102,25/02/2022,23:23:11,slavic people racist types white idrc theyre war casual racism towards blacks asians middle easterns forgotten worldwar3 wwiii ww3,en
103,25/02/2022,23:22:32,stopthewar yousupport ukraine palestine syria lebanon iraq condemn russia israel usa highest level hypocrisy rtagree wwiii الحرب_الروسيه_الاوكرانية russiaukrainewar russiaukrainewarday3,en
104,25/02/2022,23:21:05,people need stronger president willing take action need war russia need learn place like germany 40s glorytoukraine standwithukriane fuckrussia wwiii putinhitler,en
105,25/02/2022,23:19:15,thats love space explorationit sorts everything focus important humanitythats drive us everythingthe preservation life one planet stock ukrainerussia poutine nato ukrainewar wwiii,en
106,25/02/2022,23:18:50,good yall🙏🏽 wwiii,en
107,25/02/2022,23:18:43,fucking true wwiii ukranian ukrainewar,en
108,25/02/2022,23:18:33,got us go fight wwiii ww3 militarydraft draft,en
109,25/02/2022,23:18:23,true leader putinisawarcriminal mr president warinukraine wwiii,en
110,25/02/2022,23:18:19,"time put aside petty fights unite one alliance west whole west even ""superpower"" america kneel us thought wwiii america india russiaukraineconflict",en
111,25/02/2022,23:18:17,ukrainians proud leader man offered evacuated us responded need ammunition ride putin russia thought would easy take ukraine think wwiii,en
112,26/02/2022,23:58:21,joanneanewday trump kept world peace control despite democrats attacks globalists bring warinstability always high money laundering scheme feeds god serve innocent blood biden ushered wwiii call jesus trumpwasright,en
113,26/02/2022,23:57:10,ukraine used peaceful country lovely people anymore russia enters ukraine fireballs zelensky people ukraine going defend inhumane demons wwiii russiaukrainewar zelensky putinhitler,en
114,26/02/2022,23:55:46,third story like today guess took brink wwiii,en
115,26/02/2022,23:53:46,ukrainian president acting like politician campaign trail war time everyone creaming pants wwiii,en
116,26/02/2022,23:53:19,incredible seeing strength people ukraine ❤️ woman daughter stand front burning home hit russian troops wwiii ukraine ukrainerussia ukrainerussiawar ukrainewar,en
117,26/02/2022,23:53:08,nato realize wwiii already 4 days ukraine frontline natomustbeinukraine saveukrainenow,en
118,26/02/2022,23:52:50,aiding putin buying natural gas make electricity instead operating nuclear plants please commit reopening three reactors closed continuing operation three reactors set close december germany ukraine wwiii,en
119,26/02/2022,23:51:46,attention call duty keyboard commandos chance show world wwiii,en
120,26/02/2022,23:50:13,well weve certainly set template trump ever comes back starts shit ww3 wwiii,en
121,26/02/2022,23:49:14,russian troops destroyed commercial oil base near vasylkiv civilians need evacuate since fumes fires big ecological catastrophe ukraine whole europe europe russiaukraineconflict ukrainerussiawar ukraine wwiii,en
122,26/02/2022,23:49:08,"🚨new streaming series theblackexodus work fiction exerpt china declares war wwiii ""chinese watched horror black nurse gunned baby military leaders china japan korea",en
123,26/02/2022,23:49:05,brackmoo ukrainerussiawar ukraineunderattack ukrania rusia warinukraine russiaukrainewar wwiii cancel,en
124,26/02/2022,23:48:52,february 24th 2022 2018 stop believing asshole maria alejandra salomon fakebook making shit say name olenakurilo russian kyiv ukrainerussiaconflict ukrainerussiacrisis putin russiaukraineconflict kiev wwiii,en
125,26/02/2022,23:48:02,nothing good peace😪 wwiii russia ukrainerussiawar please stop war ⚠,en
126,26/02/2022,23:45:04,matter country wins wwiii internet stays undefeated 😆🤣👏👏👏 putinhitler russia vladimirmcpoyle,en
127,26/02/2022,23:43:48,🙏🏽 ukrainian locals remove road signs confuse russians ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii,en
128,26/02/2022,23:43:05,amazing see common russian take streets protest knowing theyll face consequences political wars fought politicians wish org like ufc politicians russiaukraineconflict wwiii russianinvasion ukraine,en
129,26/02/2022,23:37:24,say people like trudeau putin biden xi world leaders know vaccine done allows act though people die soon anyway us military vax mandate russian chinese military vax mandate wwiii,en
130,26/02/2022,23:37:03,behind every strong woman strange story russiaukrainecrisis russianarmy wwiii,en
131,26/02/2022,23:35:54,loading wwiii ukraine russia ukrainerussia anonymous,en
132,26/02/2022,23:35:01,war memories day 5 nft war memories collection opensea price 008 check nfts nftshill nftcommunity nftart nftartist nftcommunity nftcollection nftdrop nftcollectors eth artwork wwiii kiev ukraine stopwar art arts,en
133,26/02/2022,23:33:59,anonymous 😍😉 game began russia ukraine wwiii ukrainerussiawar ukrainerussia,en
134,26/02/2022,23:33:05,"dear extraterrestrials nuclear war starts im gonna need guys step save us return welcome abduct toxic exes ""scientific purposes"" 😊 wwiii",en
135,26/02/2022,23:32:58,stand ukraine peace putinhitler wwiii,en
136,26/02/2022,23:32:48,⚠️ youre ukraine reading please turn geolocation phone russia using track gatherings tell around same⚠️ anonymous ukraine wwiii putin russianarmy please share every care important,en
137,26/02/2022,23:31:37,cjc123abc gr8 plan start wwiii,en
138,26/02/2022,23:31:04,cyber war started anonymous russia ukraine wwiii ukrainerussiawar,en
139,26/02/2022,23:30:23,shit ukraine make emotion shit sad fuck rusia wwiii,en
140,26/02/2022,23:29:58,india position point time cant even take anyones side takes russia might face us sanctions takes usa ukraines side russia become enemy would worst ukraine ukrainerussiawar russia stopwar wwiii,en
141,26/02/2022,23:29:15,iansephton naval agree 💯 leading towards mass destructionthis syriya middle east europe history may repeat manner happened us china yet enter start wwiii stop ✋un sec_council,en
142,26/02/2022,23:28:42,usa agrees demands russia wwiii never happen,en
143,26/02/2022,23:28:29,iuic wwiii starts god protect via youtube,en
144,26/02/2022,23:28:08,ukrainian porn web cams must start wwiii,en
145,26/02/2022,23:27:46,photo aris messinis february 24th 2022 kinda hard say 2018 isnt stupid fucks believe random post someone facebook say name olenakurilo russian kyiv ukrainerussiaconflict russiaukraineconflict kiev wwiii,en
146,26/02/2022,23:27:33,many examples propaganda undoubtedly class future ukrainerussiawar wwiii russianarmy nato usa,en
147,26/02/2022,23:26:53,igeusllc rafsanchez people wont able stop wwiii god example worked hand various events close calls cold war also depends apocalypse timing current situation tho im seeing yet although took 1 step direction,en
148,26/02/2022,23:24:26,reality war 👇🏾 whole country suffering madness one person putin putinhitler wwiii ukraine stopwar russia,en
149,26/02/2022,23:22:36,wwiii web3 coincidence cryptocurrency btc eth russia ukraine,en
150,26/02/2022,23:22:23,wish well ukrainian people tweet stopped second think innocent people palestine 🇵🇸 wwiii,en
151,26/02/2022,23:22:13,yemeni child hungry almost eight years world pray human rights time death yemeni children yes human rights blue eyes blond hair always no_war yemen worldwariii wwiii ww3 ukraine,en
152,26/02/2022,23:22:11,say name olenakurilo shes fucking actor many people posting 2 different pictures saying theyre 4 years apart bsboth feb242022 russian kyiv ukrainerussiaconflict ukrainerussiacrisis putin russiaukraineconflict kiev wwiii,en
153,26/02/2022,23:20:59,germany 🇩🇪 sending weapons ukraine completing potential wwiii worldwar3,en
154,26/02/2022,23:18:10,difference hitler putin sin always sin putinhitler wwiii distraction humanity russianarmy,en
155,26/02/2022,23:15:54,stand ukraine russian wwiii stop ukrainerussiawar instead spread end war without blood end war friendly conversation 😑😑😑😑,en
156,26/02/2022,23:15:17,dlithic embodied prod syndrome via youtube ww3 wwiii anonymous nbcsnl russiaukraineconflict enjoy portals yin lp couple years agopce,en
157,26/02/2022,23:14:34,nato stepped 😶 nato ukrainerussiaconflict wwiii,en
158,26/02/2022,23:13:58,swiftban swiftsanctions wwiii worldwariii ukraine russia russiaukraine eu nato worldpeace swift sanctions russia much financial nuke ruin world fuel gas wheat gold prices shoot eu suffer also along developing countries,en
159,26/02/2022,23:13:56,kyivindependent ukrainianarmy wwiii worldwar3 standwithukriane ukrainian zelenskyyua unsc global human organizations world needs pay attention butchers humanity coming😢 world one save innocent people🗺️ bravoukraine 💙💛,en
160,26/02/2022,23:11:11,breaking usa partners countries drops financial nuclear weapon russia cut transaction banks russia swift worldwar3 swiftban russiaukraineconflict russia wwiii,en
161,26/02/2022,23:10:47,thane one secured place 😂😂 koi terrorist attack ni koi waterloging nahi 😂 roadsofmumbai wwiii mumbaitraffic thane russiaukraineconflict,en
162,26/02/2022,23:08:39,war ukraine longer ukrainerussia war world war iii forming alliances looming wwiii stopwar,en
163,26/02/2022,23:06:41,dont think putin drop nuke area ultimately wants exploit think would use dirty bombs something else think putin could sell nuclear waste black market enemies wwiii potus istandwithukraine,en
164,26/02/2022,23:06:17,russia vs ukraine wwiii russiaukraineconflict russiavsukraine,en
165,26/02/2022,23:06:12,ive seen pictures weekend national guard drill supposed makings wwiii nothing seems right putin dick zelenskyy liar biden corrupt media lost years ago trust nothing ukrainewar,en
166,26/02/2022,23:03:55,anyone else urge go buy guns wwiii starts,en
167,26/02/2022,23:03:24,worlds horrible economic sanction called swift ban imposed russia usa europe lethal nuclear weapons give rise die situation putin swiftban sanctions wwiii,en
168,26/02/2022,23:03:04,dont want world war 3 wwiii,en
169,26/02/2022,23:00:47,threat mutually assured destruction via nuclear war prevent russia usa🇺🇸 china europe🇪🇺 india etc using nuclear weapons win wars💥🕊 apocalypse wwiii prayforpeace worldpeace,en
170,26/02/2022,22:58:41,someone tell trump go tv personality competent leader zelensky russia russiaukraine ukraine kyiv wwiii,en
171,26/02/2022,22:56:25,fortune favours brave ✊ russiaukraineconflict russianarmy wwiii,en
172,26/02/2022,22:56:20,war happens language fails maegaret atwood stoprussia stopwar wwiii ukraine nato,en
173,26/02/2022,22:55:08,"big statement potus ""other sanctions wwiii option russia"" ukraineunderattack russiaukraineconflict",en
174,26/02/2022,22:54:33,briannn34811794 hp_darthmaul kofmanmichael hope ukrainian civilians access biochemical warfare protective gear ukraine ukrainerussiawar wwiii wmd,en
175,26/02/2022,22:53:16,really dont want see russia instead ukraine map ukraine russian wwiii worldwariii,en
176,26/02/2022,22:53:12,"""i need ammunition ride"" youll see legendary quote president zelensky tshirtsmuralssocial media bios rest lifeand good reason zelensky istandwithukraine ukrainewar ukrainrussia ukraineinvasion kyiv wwiii",en
177,26/02/2022,22:52:54,one thing clear countries matter u treat countries time war thats nuclear weapons important country pokhran crucial step indian history wwiii ukrainewar,en
178,26/02/2022,22:51:58,start appreciating little things blessed sleeping peacefully home nowadays everyone lucky 💔🥺🥺 sundaymorning sundaythoughts russianarmy russiaukraineconflict wwiii ukraine russia war ukrainewar ukrainerussia,en
179,26/02/2022,22:50:20,nato put world war wwiii ukraineunderattack nato ukraine russianarmy,en
180,26/02/2022,22:50:20,world increase decrease arsenal nuclear weapons 💥 wwiii peacenotwar 💥,en
181,26/02/2022,22:50:02,im wwiii beenthere genx coldwar,en
182,26/02/2022,22:48:56,see period gasenergy scarse europeanunion get cheap widely available cryptocurrency get popular hopefully putin see end influence best case scenario…this wwiii wont happen swiftban,en
183,26/02/2022,22:48:17,although time im ready day strap brothers sisters arms lol felt shit soul😂😂😂😂🙏🏾 wwiii ww3 ukraine nato prayforpeace darkhumor memes,en
184,26/02/2022,22:47:42,putin may lose war putins war russiaukraineconflict wwiii,en
185,26/02/2022,22:44:44,slept making meme wwiii wakes junaid jamsheds concert,en
186,26/02/2022,22:39:50,earth fvcked place wwiii,en
187,26/02/2022,22:39:27,sunday memes 😛 web3 developer 😂 web3 wwiii,en
188,26/02/2022,22:38:31,refusal accept russian diplomatic passports wwiii ukraine kiev bidenisafailure ukrainewar stopwar putin europe un,en
189,26/02/2022,22:37:43,real heroine ukriane ❤️ retweet agree 🤗 russianarmy wwiii russiaukraineconflict,en
190,26/02/2022,22:37:28,🙏🏽 russian navy suspected firing civilian tanker crew injured ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii,en
191,26/02/2022,22:36:09,worst part even conspiracy wwiii,en
192,26/02/2022,22:36:09,ive smoking imma throw curveball feeling reveal aliens world theyve know come stop nuclear war wwiii ukraine,en
193,26/02/2022,22:36:03,suddenly strangers good memories friends weekendvibes wwiii,en
194,26/02/2022,22:35:14,madman 21st century vladimir putin invading europe engulfing wwiii need abbreviation agree fuckputin fckputin,en
195,26/02/2022,22:31:30,saviors wwiii,en
196,26/02/2022,22:31:25,biden specially call republic bharat give ww3 hint 😂😂 wwiii ukraine russia russiaukraineconflict ukraineunderattack,en
197,26/02/2022,22:31:21,chechen armys aesthetic lowkey fire gonna lie 🔥 ramzankadyrov chechens ukraine ukrainerussiacrisis ukrainerussiaconflict russia russiaukraineconflict kiev kyiv kharkiv mariupol putin wwiii,en
198,26/02/2022,22:31:21,made chinese angry bitcoin urgent presidentzelensky russia china ukraine wwiii,en
199,26/02/2022,22:30:00,wwiii got missing pangea,en
200,26/02/2022,22:29:29,inglorious putin putin naziukraine wwiii,en
201,26/02/2022,22:27:57,wwiii already tipped hostess still asked see vax card… pushupssitupspullups twoworldwars wwiii,en
202,26/02/2022,22:23:47,war going bring good anyone suffering innocent🙏 ukrainerussia stopwar wwiii,en
203,26/02/2022,22:23:24,simpsons didnt predict wwiii 2022 know war gon stop months,en
204,26/02/2022,22:22:13,talibastan europistan taiwainistan wwiii end,en
205,26/02/2022,22:22:13,arrived ukraineunderattack ukraine wwiii,en
206,26/02/2022,22:22:10,nato prevents russia making swift payments russian bank go hell logically means crypto used new payment solution swift sanctions wwiii,en
207,26/02/2022,22:21:32,theabrehman tragedy war uses mans best mans worst wwiii worldwar3,en
208,26/02/2022,22:19:27,wait wtffffff ukraine ukraineunderattack warinukraine zelensky ukraineinvasion ukrainerussia wwiii nato,en
209,26/02/2022,22:16:40,"us needs get ""good guys vs bad guyscowboys vs indians"" mindsetmodern politics simplethe russiaukraine conflict ""bad guys vs bad guys""pay attention happening locally communityget involved fight corruptionwwiii",en
210,26/02/2022,22:10:37,wondering heading wwiii russian troops took chernobyl pretty much half past ironically trump concerned russia surviving covid people home usa dont forget,en
