date,time,tweet,language
26/02/2022,23:43:48,🙏🏽 ukrainian locals remove road signs to confuse the russians ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii,en
26/02/2022,23:43:05,its amazing to see the common russian take to the streets to protest knowing theyll have to face consequences political wars should be fought by the politicians wish they had an org like the ufc for only politicians russiaukraineconflict wwiii russianinvasion ukraine,en
26/02/2022,23:37:24,say people like trudeau putin biden xi and other world leaders know what the vaccine has done this allows them to now act as though most of these people will die soon anyway us military has a vax mandate russian and chinese military do not have a vax mandate wwiii,en
26/02/2022,23:37:03,behind every strong woman there was a strange story russiaukrainecrisis russianarmy wwiii,en
26/02/2022,23:35:54,more loading wwiii ukraine russia ukrainerussia anonymous,en
26/02/2022,23:35:01,war memories day 5 nft from war memories collection on price 0 08 check here nfts nftshill nftcommunity nftart nftartist nftcommunity nftcollection nftdrop nftcollectors eth artwork wwiii kiev ukraine stopwar art arts,en
26/02/2022,23:33:59,anonymous 😍😉 the game just began russia ukraine wwiii ukrainerussiawar ukrainerussia,en
26/02/2022,23:33:05,dear extraterrestrials if nuclear war starts im gonna need you guys to step in and save us in return you are welcome to abduct all of my toxic exes for scientific purposes 😊 wwiii,en
26/02/2022,23:32:58,we stand with ukraine peace putinhitler wwiii,en
26/02/2022,23:32:48,⚠ if youre in ukraine and reading this please turn geolocation off on your phone now russia is using it to track gatherings tell those around you to do the same ⚠ by anonymous ukraine wwiii putin russianarmy please share every care is important,en
26/02/2022,23:31:37,gr8 plan to start wwiii,en
26/02/2022,23:31:04,cyber war have started anonymous russia ukraine wwiii ukrainerussiawar,en
26/02/2022,23:30:23,this shit about ukraine make me emotion shit is so sad fuck rusia wwiii,en
26/02/2022,23:29:58,india is in such position at this point time that it cant even take anyones side if it takes russia it might face us sanctions if it takes usa or ukraines side russia will become enemy and that would be the worst ukraine ukrainerussiawar russia stopwar wwiii,en
26/02/2022,23:29:15,agree 💯 leading towards mass destruction this is not syriya or middle east but europe history may repeat again same manner it happened before us and china yet to enter to start wwiii stop ✋,en
26/02/2022,23:28:42,if usa agrees all the demands of then wwiii will never happen,en
26/02/2022,23:28:29,iuic | when wwiii starts will god protect you via,en
26/02/2022,23:28:08,the ukrainian porn web cams are down we must start wwiii now,en
26/02/2022,23:27:46,photo by aris messinis on february 24th 2022 kinda hard to say this was from 2018 now isnt it you stupid fucks who believe a random post from someone on facebook say her name olenakurilo russian kyiv ukrainerussiaconflict russiaukraineconflict kiev wwiii,en
26/02/2022,23:27:33,so many examples of propaganda there will undoubtedly be a class about this in the future ukrainerussiawar wwiii russianarmy nato usa,en
26/02/2022,23:26:53,people wont be able stop wwiii only god can for example how he worked his hand in various events and close calls during the cold war it also depends on the apocalypse timing in the current situation tho im not seeing it yet although we just took 1 step in that direction,en
26/02/2022,23:24:26,reality of war 👇🏾 whole country is suffering because of madness from one person putin putinhitler wwiii ukraine stopwar russia,en
26/02/2022,23:22:36,wwiii web3 coincidence cryptocurrency btc eth russia ukraine,en
26/02/2022,23:22:23,i wish well for all ukrainian people but this tweet stopped me for a second to think about the innocent people in palestine 🇵🇸 wwiii,en
26/02/2022,23:22:13,the yemeni child has been hungry for almost eight years did the world pray for him where are the human rights the time of your death yemeni children yes human rights for blue eyes and blond hair will always be there no_war yemen worldwariii wwiii ww3 ukraine,en
26/02/2022,23:22:11,say her name olenakurilo shes not a fucking actor too many people are posting 2 different pictures of her saying theyre 4 years apart bsboth are from feb 24 2022 russian kyiv ukrainerussiaconflict ukrainerussiacrisis putin russiaukraineconflict kiev wwiii,en
26/02/2022,23:20:59,germany sending weapons to ukraine is now completing this potential wwiii worldwar3,en
26/02/2022,23:18:10,now there is no difference between hitler and putin sin is always sin putinhitler wwiii distraction humanity russianarmy,en
26/02/2022,23:15:54,stand with ukraine and russian wwiii stop the ukrainerussiawar instead of spread it we can end the war without blood we can end the war by friendly conversation 😑😑😑😑,en
26/02/2022,23:15:17,d lithic embodied (prod by syndrome) via ww3 wwiii anonymous russiaukraineconflict enjoy its off the portals of the yin lp from a couple years agopce@@,en
26/02/2022,23:14:34,nato stepped in 😶 nato ukrainerussiaconflict wwiii,en
26/02/2022,23:13:58,swiftban swiftsanctions wwiii worldwariii ukraine russia russiaukraine eu nato worldpeace swift sanctions on russia is too much its financial nuke it will ruin the world fuel gas wheat gold prices will shoot up eu will suffer also along with developing countries,en
26/02/2022,23:13:56,ukrainianarmy wwiii worldwar3 standwithukriane ukrainian where is the unsc where are the global human organizations the world needs to pay attention here the butchers of humanity are coming😢 o world be one to save innocent people🗺 bravoukraine 💙💛,en
26/02/2022,23:11:11,breaking usa and its partners countries drops financial nuclear weapon to russia by cut off transaction with some banks in russia through swift worldwar3 swiftban russiaukraineconflict russia wwiii,en
26/02/2022,23:10:47,thane is one of the secured place 😂😂 koi terrorist attack ni koi waterloging nahi 😂 wwiii mumbaitraffic thane russiaukraineconflict,en
26/02/2022,23:08:39,the war in ukraine is no longer a ukraine russia war a world war iii with forming alliances is looming wwiii stopwar,en
26/02/2022,23:06:41,i dont think putin will drop a nuke on an area he ultimately wants to exploit i do think he would use dirty bombs something else to think about putin could sell nuclear waste on the black market to our enemies wwiii istandwithukraine,en
26/02/2022,23:06:17,russia vs ukraine wwiii russiaukraineconflict russiavsukraine,en
26/02/2022,23:06:12,ive seen more pictures from a weekend national guard drill than i have of what is supposed to be the makings of wwiii nothing about this seems right putin is a dick zelenskyy is a liar biden is corrupt the media lost me years ago we should trust nothing ukrainewar,en
26/02/2022,23:03:55,anyone else have the urge to go out and buy some guns before wwiii starts,en
26/02/2022,23:03:24,worlds most horrible economic sanction called swift ban has been imposed on russia by usa and europe and it is more lethal than nuclear weapons now it will give rise to do or die situation for putin swiftban sanctions wwiii,en
26/02/2022,23:03:04,i dont want world war 3 wwiii,en
26/02/2022,23:00:47,will the threat of a mutually assured destruction (via nuclear war) prevent russia usa china europe india etc from using nuclear weapons to win wars 💥🕊 apocalypse wwiii prayforpeace worldpeace,en
26/02/2022,22:58:41,someone should tell trump that this is how you go from a tv personality to a competent leader zelensky russia russiaukraine ukraine kyiv wwiii,en
26/02/2022,22:56:25,fortune favours the brave ✊ russiaukraineconflict russianarmy wwiii,en
26/02/2022,22:56:20,war is what happens when language fails ~ maegaret atwood ~ stoprussia stopwar wwiii ukraine nato,en
26/02/2022,22:55:08,big statement from other than sanctions wwiii is the only option against russia ukraineunderattack russiaukraineconflict,en
26/02/2022,22:54:33,i hope the ukrainian civilians have access to biochemical warfare protective gear ukraine ukrainerussiawar wwiii wmd,en
26/02/2022,22:53:16,i really dont want to see russia instead of ukraine in the map ukraine russian wwiii worldwariii,en
26/02/2022,22:53:12,i need ammunition not a ride youll see that legendary quote from president zelensky on t shirts/murals/social media bios for the rest of your life and with good reason zelensky istandwithukraine ukrainewar ukrainrussia ukraineinvasion kyiv wwiii,en
26/02/2022,22:52:54,one thing is so so clear to all countries that no matter how u treat other countries when its time for war its only you and only you thats why nuclear weapons are so important for the country and pokhran was the most crucial step in indian history wwiii ukrainewar,en
26/02/2022,22:51:58,start appreciating little things you are blessed if you are sleeping peacefully in your home because nowadays not everyone is as lucky as you 💔🥺🥺 sundaymorning sundaythoughts russianarmy russiaukraineconflict wwiii ukraine russia war ukrainewar ukrainerussia,en
26/02/2022,22:50:20,nato put the world in war wwiii ukraineunderattack nato ukraine russianarmy,en
26/02/2022,22:50:20,should the world increase or decrease the arsenal of nuclear weapons 💥 wwiii peacenotwar 💥,en
26/02/2022,22:50:02,im here for you wwiii beenthere genx coldwar,en
26/02/2022,22:48:56,i can see a period of where gas/energy will be scarse in europeanunion then it will get very cheap and widely available cryptocurrency will get very popular and hopefully putin will see an end of his influence best case scenario this if wwiii wont happen swiftban,en
26/02/2022,22:48:17,although i did my time im ready for my day to strap up again with my brothers and sisters in arms lol felt this shit in my soul😂😂😂😂🙏🏾 wwiii ww3 ukraine nato prayforpeace darkhumor memes,en
26/02/2022,22:47:42,putin may lose more from this war putins war russiaukraineconflict wwiii,en
26/02/2022,22:44:44,when you slept after making meme on wwiii and wakes up in junaid jamsheds concert,en
26/02/2022,22:39:50,earth you are a fvcked place wwiii,en
26/02/2022,22:39:27,sunday memes 😛 any web3 developer here 😂 web3 wwiii,en
26/02/2022,22:38:31,refusal to accept all russian diplomatic passports wwiii ukraine kiev bidenisafailure ukrainewar stopwar putin europe un,en
26/02/2022,22:37:43,real heroine of ukriane ❤ retweet if you agree 🤗 russianarmy wwiii russiaukraineconflict,en
26/02/2022,22:37:28,🙏🏽 russian navy suspected of firing on civilian tanker crew injured ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii,en
26/02/2022,22:36:09,worst part this is not even conspiracy wwiii,en
26/02/2022,22:36:09,ive been smoking so imma throw the curveball but i have a feeling that this is how they will reveal the aliens to the world (that theyve been know about) they will come to stop the nuclear war wwiii ukraine,en
26/02/2022,22:36:03,suddenly we are just strangers with good memories friends weekendvibes wwiii,en
26/02/2022,22:35:14,when the madman of the 21st century vladimir putin is invading europe and engulfing on wwiii do we need an abbreviation can we all agree on fuckputin fckputin,en
26/02/2022,22:31:30,they are our saviors wwiii,en
26/02/2022,22:31:25,biden specially call republic bharat and give them ww3 hint 😂😂 wwiii ukraine russia russiaukraineconflict ukraineunderattack,en
