,date,time,tweet,language,sentimiento
57,25/02/2022,23:39:23,THEY GOT MONEY FOR WARS BUT CANT FEED THE POOR 💔 💔 #WWIII #StopTheWar #StopPutin #RussiaUkraineConflict #UkraineWar #UkraineRussiaCrisis #NoWar #Russia,en,neutro
58,25/02/2022,23:38:58,"The Ukrainians should be proud of their leader. The man was offered to be evacuated by US and he responded with ""I need ammunition not a ride."" Putin and Russia thought it would be easy to take over Ukraine think again. #WWIII #UkraineRussia #russianinvasion",en,neutro
59,25/02/2022,23:38:57,It makes it really difficult to come together as a nation when the former President and members of @GOP praise Putin!!!#GOPTraitorsToDemocracy #GOPBetrayedAmerica #TrumpIsARussianAsset #PutinIsaWarCriminal #IStandWithUkraine #WWIII is here… #TakeOutPutin,en,neutro
60,25/02/2022,23:38:41,@williamzambezi @spectatorindex #WWIII on the making zvadhakwa lets see who will have the laugh !,en,neutro
61,25/02/2022,23:37:43,#Sensex slips over 1400 points as Putin orders troops into #Ukraine #WWIII #worldwar3 #WorldWarIII #UkraineRussiaCrisis #UkraineConflict #RussiaUkraineConflict #russiaukrainewar #UkraineUnderAttack #UkraineWar #russianinvasion #UkraineRussia #UkraineInvasion,en,neutro
62,25/02/2022,23:37:21,It's hurting 💔💔💔Say no to war 👍 #WWIII #RussiaUkraineWar #RussiaUkraine #WARINUKRAINE #WorldWarIII #worldwar3,en,negativo
63,25/02/2022,23:37:06,Why trends for Ukraine but not for Palestine?? double standards #WorldWarIII #WWIII #WWIII #war,en,neutro
64,25/02/2022,23:36:45,@AMYA_Press This is heartbreaking. I pray for our World.🙏🏽🌎 #WWIII,en,neutro
65,25/02/2022,23:36:25,If courage has a face🏅 #worldwar3 #WWIII #Ukraine #RussiaUkraineConflict #Russia #RussiaUkraineWar,en,neutro
66,25/02/2022,23:35:57,If you: Support Ukraine But not Palestine Syria Lebanon and Iraq. If you condemn #Russia But not #Israel and US. Then congratulations mate you are on the highest tier of hypocrisy. RT=Agree #RussiaUkraineConflict #worldwar3 #WWIII,en,neutro
67,25/02/2022,23:35:52,#worldwar3 #WorldWarIII #WWIII Putin Russia ukraine,en,neutro
68,25/02/2022,23:35:49,NATO and America will only take military action on weak countries a sanction that will affect Russia after years which does not matter to Putin. NATO Alliance and America left Ukraine alone in this difficult time #Putin #Russia #Ukraine #WWIII #Zelenskiy #Kiyev #Nato #Crisis,en,neutro
69,25/02/2022,23:35:22,🙏🏽 Russian Captive Speaks To His Parents From Ukraine #Ukraine #UkraineRussia #UkraineInvasion #UkraineRussiaCrisis #UkraineUnderAttack #worldwar3 #WorldWarIII #WWIII,en,neutro
70,25/02/2022,23:34:53,Throw a uniform on Putin and make it one on one #WWIII,en,neutro
71,25/02/2022,23:34:52,Now that #conflict has started the best course is to end it early World shall convince #Russia to restrct itself to Donetsk and Luhansk regions and leave rest of the #Ukrain in exchange for relief in sanctions & normalisation #UkraineConflict #WWIII #Europe #NATO #USA #UNO,en,neutro
72,25/02/2022,23:34:45,Russia-Ukraine War LIVE: Indians evacuated to reach Mumbai by 4 pm #WWIII #worldwar3 #WorldWarIII #Ukraine #UkraineRussiaCrisis #UkraineConflict #RussiaUkraineConflict #RussiaUkraineConflict #RussiaUkraine #russiaukrainewar #UkraineCrisis,en,neutro
73,25/02/2022,23:34:00,"For the non-military civvie crowd now- before yall cry havoc for #WWIII/#WW3: Standard ""acceptable losses"" (per Cdn/NATO stds) for an operation to be able to continue/be deemed ""successful"" begin at around 20% of the deployed force/collateral population. /2",en,neutro
74,25/02/2022,23:33:16,We were so so close to the destruction of our way of life. Imagine if trump had succeeded. #Ukraine #NATO #WWIII Looks like trump rubbed off on #putin more than we thought. He always brings out the best in everyone. BTW Where is #MikeFlynn?,en,neutro
75,25/02/2022,23:32:32,Truth: Putin just started #WWIII he's going to go after Ukraine & ALL surrounding countries. He just told us he's going after @swedense and @FinlandinEU @NATO @POTUS @WhiteHouse @SenateDems @HouseDemocrats @DNC are NOT doing enough they need to ACT now not months frm now,en,neutro
76,25/02/2022,23:31:52,I am not in favor of war But the atrocities committed by NATO And still doing Will this injustice not be accounted for? #WWIII #worldwar3 #Putin #UkraineRussia,en,neutro
77,25/02/2022,23:31:01,If Big T was still in office this shit wouldnt even be going down right now #WWIII,en,neutro
78,25/02/2022,23:29:38,Never forget the ISLAMIC WORLD 💔 #arab #Palestine #Syria #Uyghurs #WWIII #WW3 #IRAQ #IRAK #YEMEN,en,neutro
79,25/02/2022,23:29:27,"Some of us weren't ""ahead."" Y'all were just behind. Now you've all woken up when it was just too late. We will now all face the repercussions due to your ignorance. #COVID19 #WW3 #WWIII",en,neutro
80,25/02/2022,23:29:07,Just like me arguing with my mother. #WWIII,en,neutro
81,25/02/2022,23:28:34,Germany eagerly awaiting 😍 #WWIII,en,neutro
82,25/02/2022,23:28:21,No words #Ukraine #WWIII,en,neutro
83,25/02/2022,23:28:16,Meta which is a company owning Facebook is moving to bar Russia from running their ads on their platforms.#RussiaUkraineConflict #WWIII #UnitedWithUkraine @sttacin @RobertAlai @,en,neutro
84,25/02/2022,23:27:23,God Bless Ukrainian Heroes? 🙄🙄🙄🙄🙄🙄 #UkraineInvasion #UkraineWar #WWIII,en,neutro
85,25/02/2022,23:27:14,USA the real threat to world #RussiaUkraineConflict #UnitedNations #WWIII #NATO #UNSC,en,neutro
86,25/02/2022,23:27:12,It's not #WWIII until #NATO gets involved,en,neutro
87,25/02/2022,23:27:05,Russia/China partnership. Russia/India currency deal. Pakistan & Germany & France somehow involved. China/North Korea possibly signaling an attack on Taiwan. Canada has almost gone full Communist Party. US border patrol told to beware targeted assassinations. #WWIII,en,neutro
88,25/02/2022,23:26:51,#MasculinitySaturday #worldwar3 state house ukraine #WWIII #BidenIsADisgrace #CloseTheSky,en,neutro
89,25/02/2022,23:26:38,If you're worried or showing concerns for Ukrainian have same humanity for Palestinian 🇵🇸 and look at Israel the same way you're looking at Russia #westandwithpalestine #WWIII,en,neutro
90,25/02/2022,23:26:02,A special flight of #AirIndia AI-1943 lands at Bucharest in Romania for the evacuation of stranded Indians #WWIII #WorldWarIII #UkraineRussiaCrisis #UkraineConflict #RussiaUkraineConflict #russiaukrainewar #UkraineUnderAttack #UkraineWar #russianinvasion #UkraineInvasion,en,neutro
91,25/02/2022,23:25:56,I think they will stop WW3 like any liquid can over come fire #worldwar3 #WWIII #Ukraine #RussiaUkraineConflict #Russia #RussiaUkraineWar,en,neutro
92,25/02/2022,23:25:27,Much as was the case before #WW2. The leaders will only appear in the west after #WWIII is well underway because they MUST if we are to survive. And Ill bet they will be #Conservatives (no not right-wing extremists!) who wont care about re-election but getting us 2 other side.,en,neutro
93,25/02/2022,23:25:24,How long before these are turned into intercontinental ballistic missiles? #WWIII,en,neutro
94,25/02/2022,23:25:21,History revolves around itself Thats why i stand with #putin #WWIII #ww3 #WorldWarIII,en,neutro
95,25/02/2022,23:25:05,Grow food and build local supply chains. Society is crumbling so save yourself and build new systems. Not much use crying to an abusive system to change for you. #nwo #wef #WWIII #greatreset #ConvoyForFreedom2022 #BidenIsADisgrace #homesteading #protest #ConvoyForFreedom,en,neutro
96,25/02/2022,23:25:03,#WWIII Sanctions are useless way of saying NATO are cowards.,en,neutro
97,25/02/2022,23:24:38,#BREAKING #UPDATE A special flight of #AirIndia AI-1943 lands at #Bucharest in Romania🇷🇴 for the evacuation of stranded Indians #RussiaUkraineConflict #UkraineCrisis #UkraineRussiaCrisis #Russia #WWIII #RussiaUkraineCrisis,en,neutro
98,25/02/2022,23:24:28,#RussiaUkraineWar: Gunfire erupts inside Ukrainian capital #WWIII #worldwar3 #WorldWarIII #UkraineRussiaCrisis #UkraineConflict #RussiaUkraineConflict #UkraineUnderAttack #UkraineWar #russianinvasion #UkraineRussia #UkraineInvasion,en,neutro
99,25/02/2022,23:24:19,How many times has Ukraine supported India? Be it Kashmir Pakistan Galwan Nuclear test....? So why support a country who has always been hostile towards us? You cannot shake hands with a clenched fist - Indira Gandhi #UkrainevsRussia #Russia #WWIII #Ukraine,en,neutro
100,25/02/2022,23:24:17,01:23pm Saturday 02/26/2022 (GMT+8) Status: World is changing chaos everywhere #Taiwan #UkraineInvasion #WWIII #tweetdaily,en,neutro
101,25/02/2022,23:23:58,Groundwater Damage: Since the annexation of Crimea the Donets Coal Basin or 'Donbas' has faced significant damages. It contains active and inactive land mines which are pumped regularly so that the groundwater does not flood them.#RussiaUkraineWar #WWIII #nuclear #nature,en,neutro
102,25/02/2022,23:23:11,slavic people are the most racist types of white so idrc that theyre at war with each other. their casual racism towards blacks asians and middle easterns are not forgotten. #worldwar3 #WWIII #WW3,en,neutro
103,25/02/2022,23:22:32,#StopTheWar If you Support Ukraine But not Palestine Syria Lebanon and Iraq. If you condemn #Russia But not #Israel and #USA. Then you are on the highest level of hypocrisy. RT=Agree #WWIII #الحرب_الروسيه_الاوكرانية #RussiaUkraineWar #RussiaUkraineWarDay3,en,neutro
104,25/02/2022,23:21:05,people. We need a stronger President who is willing to take action. We need a war against Russia. They need to learn their place just like Germany did in the 40s. #GloryToUkraine #StandWithUkriane #FuckRussia #WWIII #PutinHitler,en,neutro
105,25/02/2022,23:19:15,Thats all I love about space and exploration...it sorts out everything to focus on the most important : Humanity...thats what should drive us in everything...the preservation of life on the one and only planet we have in stock #UkraineRussia #Poutine #NATO #UkraineWar #WWIII,en,neutro
106,25/02/2022,23:18:50,We good y'all🙏🏽 #WWIII,en,neutro
107,25/02/2022,23:18:43,Fucking true #WWIII #Ukranian #UkraineWar,en,neutro
108,25/02/2022,23:18:33,You got us into it. You go fight. #WWIII #WW3 #MilitaryDraft #Draft,en,neutro
109,25/02/2022,23:18:23,A true Leader. #PutinIsaWarCriminal Mr. President #WARINUKRAINE #WWIII,en,neutro
110,25/02/2022,23:18:19,"Its time when we should put aside our petty fights and unite as one alliance and the west what we can do. The whole west and even ""superpower"" America will kneel before us. Just a thought. #WWIII #America #India #RussiaUkraineConflict",en,neutro
111,25/02/2022,23:18:17,"The Ukrainians should be proud of their leader. The man was offered to be evacuated by US and he responded with ""I need ammunition not a ride."" Putin and Russia thought it would be easy to take over Ukraine think again. #WWIII",en,neutro
112,26/02/2022,23:58:21,@joanneanewday Trump kept the world in peace and under control despite democrats attacks. The Globalists bring war&instability always. Its their high and money laundering scheme and it feeds the god they serve with innocent blood. Biden just ushered in #WWIII . Call on Jesus! #TrumpWasRight,en,neutro
113,26/02/2022,23:57:10,Ukraine used to be a peaceful country with lovely people. Not anymore after Russia enters Ukraine with fireballs. Now Zelensky and the people in Ukraine are going to defend those inhumane demons. #WWIII #RussiaUkraineWar #Zelensky #PutinHitler,en,neutro
114,26/02/2022,23:55:46,Third story like this today. I guess it took the brink of #WWIII.,en,neutro
115,26/02/2022,23:53:46,The Ukrainian president acting like a politician on the campaign trail during war time has everyone creaming their pants. #wwiii,en,neutro
116,26/02/2022,23:53:19,Its incredible seeing this strength in the people of Ukraine ❤️. A woman and her daughter stand in front of their burning home hit by the Russian troops. #WWIII #Ukraine #UkraineRussia #UkraineRussiaWar #UkraineWar,en,neutro
117,26/02/2022,23:53:08,Does @NATO realize that the #WWIII is on already for 4 days and #Ukraine is on the frontline? #NATOmustbeinUkraine #SAVEUKRAINENOW,en,neutro
118,26/02/2022,23:52:50,You are aiding #Putin by buying his natural gas to make electricity instead of operating your nuclear plants. Please commit to re-opening the three reactors you just closed and to continuing the operation of the three reactors set to close in December. #Germany #Ukraine #WWIII,en,neutro
119,26/02/2022,23:51:46,Attention Call of Duty keyboard commandos: This is your chance to show the world. #WWIII,en,neutro
120,26/02/2022,23:50:13,Well weve certainly set the template for if trump ever comes back and starts shit #WW3 #WWIII,en,neutro
121,26/02/2022,23:49:14,Russian troops destroyed commercial oil base near Vasylkiv civilians need to evacuate NOW since the fumes and fires are too big. This is an ecological catastrophe not only for Ukraine but for the whole of Europe #Europe #RussiaUkraineConflict #UkraineRussiaWar #Ukraine #WWIII,en,neutro
122,26/02/2022,23:49:08,"🚨New Streaming Series: #TheBlackExodus: This is a work of fiction. Exerpt: CHINA DECLARES WAR: #WWIII ""Chinese watched in horror as the Black nurse was gunned down with her baby Military leaders from China Japan and Korea...",en,neutro
123,26/02/2022,23:49:05,@brackmoo #UkraineRussiaWar #UkraineUnderAttack #Ukrania #Rusia #WARINUKRAINE #RussiaUkraineWar #WWIII cancel him!!,en,neutro
124,26/02/2022,23:48:52,FEBRUARY 24TH 2022!!! NOT FROM 2018. STOP BELIEVING SOME ASSHOLE (Maria Alejandra Salomon) FROM FAKEBOOK MAKING SHIT UP!! Say her name!!!! #OlenaKurilo #Russian #Kyiv #UkraineRussiaConflict #UkraineRussiaCrisis #Putin #RussiaUkraineConflict #Kiev #WWIII,en,neutro
125,26/02/2022,23:48:02,There is nothing good than peace😪.. #WWIII #Russia #UkraineRussiaWar Please stop the war ⚠,en,negativo
126,26/02/2022,23:45:04,No matter which country wins #WWIII the internet stays undefeated 😆🤣👏👏👏 #PutinHitler #Russia #VladimirMcPoyle,en,neutro
127,26/02/2022,23:43:48,🙏🏽 Ukrainian Locals Remove Road Signs To Confuse The Russians #Ukraine #UkraineRussia #UkraineInvasion #UkraineRussiaCrisis #UkraineUnderAttack #worldwar3 #WorldWarIII #WWIII,en,neutro
128,26/02/2022,23:43:05,its amazing to see the common #Russian take to the streets to protest knowing theyll have to face consequences. political #Wars should be fought by the politicians. wish they had an org like the #ufc for only politicians. #RussiaUkraineConflict #WWIII #russianinvasion #Ukraine,en,neutro
129,26/02/2022,23:37:24,Say people like #Trudeau #Putin #Biden #Xi and other world leaders know what the vaccine has done. This allows them to now act as though most of these people will die soon anyway. US military has a vax mandate. Russian & Chinese military do not have a vax mandate. #WWIII,en,neutro
130,26/02/2022,23:37:03,Behind every strong woman There was a strange story!! #RussiaUkraineCrisis #RussianArmy #WWIII,en,neutro
131,26/02/2022,23:35:54,More loading..... #WWIII #Ukraine #Russia #UkraineRussia #Anonymous,en,neutro
132,26/02/2022,23:35:01,War Memories - Day 5 #NFT - From War Memories Collection On @opensea Price: 0.08 Check here: #NFTS #NFTshill #NFTCommunity #nftart #NFTartist #NFTCommunity #NFTCollection #NFTdrop #nftcollectors #eth #artwork #WWIII #Kiev #Ukraine #stopwar #art #arts,en,neutro
133,26/02/2022,23:33:59,Anonymous 😍😉 The game just began #Russia #Ukraine #WWIII #UkraineRussiaWar #UkraineRussia,en,neutro
134,26/02/2022,23:33:05,"Dear extraterrestrials if nuclear war starts Im gonna need you guys to step in & save us. In return you are welcome to abduct all of my toxic exes for ""scientific purposes"" 😊 #WWIII",en,neutro
135,26/02/2022,23:32:58,We stand with Ukraine peace #PutinHitler #WWIII,en,neutro
136,26/02/2022,23:32:48,⚠️ If youre in #Ukraine and reading this please turn geolocation off on your phone now. Russia is using it to track gatherings. Tell those around you to do the same.⚠️ by: #Anonymous #Ukraine #WWIII #Putin #RussianArmy PLEASE SHARE! every care is important!!!!,en,neutro
137,26/02/2022,23:31:37,@CJC123abc Gr8 plan to start #WWIII,en,neutro
138,26/02/2022,23:31:04,Cyber war have started. #Anonymous #Russia #Ukraine #WWIII #UkraineRussiaWar,en,neutro
139,26/02/2022,23:30:23,This shit about Ukraine make me emotion shit is so sad fuck Rusia #WWIII,en,negativo
140,26/02/2022,23:29:58,India is in such position at this point time that it cant even take anyones side if it takes Russia it might face US sanctions. If it takes USA or Ukraines side Russia will become enemy & that would be the worst. #Ukraine #UkraineRussiaWar #Russia #StopWar #WWIII,en,neutro
141,26/02/2022,23:29:15,@iansephton @naval Agree 💯 leading towards mass destruction.This is not Syriya or Middle East but Europe. History may repeat again same manner it happened before. US & China yet to enter to start #WWIII STOP ✋@UN @sec_council,en,neutro
142,26/02/2022,23:28:42,If #USA agrees all the demands of @Russia then #WWIII will never happen !,en,neutro
143,26/02/2022,23:28:29,#IUIC | When #WWIII Starts Will #God Protect You? via @YouTube,en,neutro
144,26/02/2022,23:28:08,The Ukrainian porn web cams are down. We must start #WWIII now.,en,neutro
145,26/02/2022,23:27:46,PHOTO BY - ARIS MESSINIS ON FEBRUARY 24TH 2022 Kinda hard to say this was from 2018 now isnt it??? You stupid FUCKS who believe a random post from someone on FACEBOOK!! Say her name!!!! #OlenaKurilo #Russian #Kyiv #UkraineRussiaConflict #RussiaUkraineConflict #Kiev #WWIII,en,neutro
146,26/02/2022,23:27:33,So many examples of propaganda there will undoubtedly be a class about this in the future. #UkraineRussiaWar #WWIII #RussianArmy #nato #USA,en,neutro
